statement,label,city,country,correct_country,question,question_with_answer
The city of Madinat an Nasr is in India.,0,Madinat an Nasr,India,Egypt,In which country is the city of Madinat an Nasr located?,In which country is the city of Madinat an Nasr located? India.
The city of Yibin is in China.,1,Yibin,China,China,In which country is the city of Yibin located?,In which country is the city of Yibin located? China.
The city of Yibin is in Brazil.,0,Yibin,Brazil,China,In which country is the city of Yibin located?,In which country is the city of Yibin located? Brazil.
The city of Sanmenxia is in China.,1,Sanmenxia,China,China,In which country is the city of Sanmenxia located?,In which country is the city of Sanmenxia located? China.
The city of Sanmenxia is in Brazil.,0,Sanmenxia,Brazil,China,In which country is the city of Sanmenxia located?,In which country is the city of Sanmenxia located? Brazil.
The city of Rui'an is in China.,1,Rui'an,China,China,In which country is the city of Rui'an located?,In which country is the city of Rui'an located? China.
The city of Rui'an is in Indonesia.,0,Rui'an,Indonesia,China,In which country is the city of Rui'an located?,In which country is the city of Rui'an located? Indonesia.
The city of Ningbo is in China.,1,Ningbo,China,China,In which country is the city of Ningbo located?,In which country is the city of Ningbo located? China.
The city of Ningbo is in South Korea.,0,Ningbo,South Korea,China,In which country is the city of Ningbo located?,In which country is the city of Ningbo located? South Korea.
The city of Jiujiang is in China.,1,Jiujiang,China,China,In which country is the city of Jiujiang located?,In which country is the city of Jiujiang located? China.
The city of Jiujiang is in Indonesia.,0,Jiujiang,Indonesia,China,In which country is the city of Jiujiang located?,In which country is the city of Jiujiang located? Indonesia.
The city of Jiaozuo is in China.,1,Jiaozuo,China,China,In which country is the city of Jiaozuo located?,In which country is the city of Jiaozuo located? China.
The city of Jiaozuo is in Bangladesh.,0,Jiaozuo,Bangladesh,China,In which country is the city of Jiaozuo located?,In which country is the city of Jiaozuo located? Bangladesh.
The city of Jiangmen is in China.,1,Jiangmen,China,China,In which country is the city of Jiangmen located?,In which country is the city of Jiangmen located? China.
The city of Jiangmen is in South Korea.,0,Jiangmen,South Korea,China,In which country is the city of Jiangmen located?,In which country is the city of Jiangmen located? South Korea.
The city of Huizhou is in China.,1,Huizhou,China,China,In which country is the city of Huizhou located?,In which country is the city of Huizhou located? China.
The city of Huizhou is in the United States.,0,Huizhou,the United States,China,In which country is the city of Huizhou located?,In which country is the city of Huizhou located? the United States.
The city of Harbin is in China.,1,Harbin,China,China,In which country is the city of Harbin located?,In which country is the city of Harbin located? China.
The city of Harbin is in Russia.,0,Harbin,Russia,China,In which country is the city of Harbin located?,In which country is the city of Harbin located? Russia.
The city of Herat is in Afghanistan.,1,Herat,Afghanistan,Afghanistan,In which country is the city of Herat located?,In which country is the city of Herat located? Afghanistan.
The city of Herat is in China.,0,Herat,China,Afghanistan,In which country is the city of Herat located?,In which country is the city of Herat located? China.
The city of Kleinzschocher is in Germany.,1,Kleinzschocher,Germany,Germany,In which country is the city of Kleinzschocher located?,In which country is the city of Kleinzschocher located? Germany.
The city of Kleinzschocher is in Brazil.,0,Kleinzschocher,Brazil,Germany,In which country is the city of Kleinzschocher located?,In which country is the city of Kleinzschocher located? Brazil.
The city of Davao is in the Philippines.,1,Davao,the Philippines,the Philippines,In which country is the city of Davao located?,In which country is the city of Davao located? the Philippines.
The city of Davao is in Brazil.,0,Davao,Brazil,the Philippines,In which country is the city of Davao located?,In which country is the city of Davao located? Brazil.
The city of Sargodha is in Pakistan.,1,Sargodha,Pakistan,Pakistan,In which country is the city of Sargodha located?,In which country is the city of Sargodha located? Pakistan.
The city of Sargodha is in India.,0,Sargodha,India,Pakistan,In which country is the city of Sargodha located?,In which country is the city of Sargodha located? India.
The city of Islamabad is in Pakistan.,1,Islamabad,Pakistan,Pakistan,In which country is the city of Islamabad located?,In which country is the city of Islamabad located? Pakistan.
The city of Islamabad is in Japan.,0,Islamabad,Japan,Pakistan,In which country is the city of Islamabad located?,In which country is the city of Islamabad located? Japan.
The city of Zapopan is in Mexico.,1,Zapopan,Mexico,Mexico,In which country is the city of Zapopan located?,In which country is the city of Zapopan located? Mexico.
The city of Zapopan is in China.,0,Zapopan,China,Mexico,In which country is the city of Zapopan located?,In which country is the city of Zapopan located? China.
The city of Visakhapatnam is in India.,1,Visakhapatnam,India,India,In which country is the city of Visakhapatnam located?,In which country is the city of Visakhapatnam located? India.
The city of Visakhapatnam is in Indonesia.,0,Visakhapatnam,Indonesia,India,In which country is the city of Visakhapatnam located?,In which country is the city of Visakhapatnam located? Indonesia.
The city of Rourkela is in India.,1,Rourkela,India,India,In which country is the city of Rourkela located?,In which country is the city of Rourkela located? India.
The city of Rourkela is in Brazil.,0,Rourkela,Brazil,India,In which country is the city of Rourkela located?,In which country is the city of Rourkela located? Brazil.
The city of Dhanbad is in India.,1,Dhanbad,India,India,In which country is the city of Dhanbad located?,In which country is the city of Dhanbad located? India.
The city of Dhanbad is in Kenya.,0,Dhanbad,Kenya,India,In which country is the city of Dhanbad located?,In which country is the city of Dhanbad located? Kenya.
The city of Bokaro is in India.,1,Bokaro,India,India,In which country is the city of Bokaro located?,In which country is the city of Bokaro located? India.
The city of Bokaro is in China.,0,Bokaro,China,India,In which country is the city of Bokaro located?,In which country is the city of Bokaro located? China.
The city of Tabriz is in Iran.,1,Tabriz,Iran,Iran,In which country is the city of Tabriz located?,In which country is the city of Tabriz located? Iran.
The city of Tabriz is in India.,0,Tabriz,India,Iran,In which country is the city of Tabriz located?,In which country is the city of Tabriz located? India.
The city of Tlaquepaque is in Mexico.,1,Tlaquepaque,Mexico,Mexico,In which country is the city of Tlaquepaque located?,In which country is the city of Tlaquepaque located? Mexico.
The city of Tlaquepaque is in Japan.,0,Tlaquepaque,Japan,Mexico,In which country is the city of Tlaquepaque located?,In which country is the city of Tlaquepaque located? Japan.
The city of Victoria de Durango is in Mexico.,1,Victoria de Durango,Mexico,Mexico,In which country is the city of Victoria de Durango located?,In which country is the city of Victoria de Durango located? Mexico.
The city of Victoria de Durango is in Ghana.,0,Victoria de Durango,Ghana,Mexico,In which country is the city of Victoria de Durango located?,In which country is the city of Victoria de Durango located? Ghana.
The city of Kota Kinabalu is in Malaysia.,1,Kota Kinabalu,Malaysia,Malaysia,In which country is the city of Kota Kinabalu located?,In which country is the city of Kota Kinabalu located? Malaysia.
The city of Kota Kinabalu is in the United States.,0,Kota Kinabalu,the United States,Malaysia,In which country is the city of Kota Kinabalu located?,In which country is the city of Kota Kinabalu located? the United States.
The city of Nairobi is in Kenya.,1,Nairobi,Kenya,Kenya,In which country is the city of Nairobi located?,In which country is the city of Nairobi located? Kenya.
The city of Nairobi is in Mexico.,0,Nairobi,Mexico,Kenya,In which country is the city of Nairobi located?,In which country is the city of Nairobi located? Mexico.
The city of Taguig is in the Philippines.,1,Taguig,the Philippines,the Philippines,In which country is the city of Taguig located?,In which country is the city of Taguig located? the Philippines.
The city of Taguig is in India.,0,Taguig,India,the Philippines,In which country is the city of Taguig located?,In which country is the city of Taguig located? India.
The city of Rajkot is in India.,1,Rajkot,India,India,In which country is the city of Rajkot located?,In which country is the city of Rajkot located? India.
The city of Rajkot is in Russia.,0,Rajkot,Russia,India,In which country is the city of Rajkot located?,In which country is the city of Rajkot located? Russia.
The city of Pune is in India.,1,Pune,India,India,In which country is the city of Pune located?,In which country is the city of Pune located? India.
The city of Pune is in South Korea.,0,Pune,South Korea,India,In which country is the city of Pune located?,In which country is the city of Pune located? South Korea.
The city of Ludhiana is in India.,1,Ludhiana,India,India,In which country is the city of Ludhiana located?,In which country is the city of Ludhiana located? India.
The city of Ludhiana is in Togo.,0,Ludhiana,Togo,India,In which country is the city of Ludhiana located?,In which country is the city of Ludhiana located? Togo.
The city of Jamshedpur is in India.,1,Jamshedpur,India,India,In which country is the city of Jamshedpur located?,In which country is the city of Jamshedpur located? India.
The city of Jamshedpur is in China.,0,Jamshedpur,China,India,In which country is the city of Jamshedpur located?,In which country is the city of Jamshedpur located? China.
The city of Bhiwandi is in India.,1,Bhiwandi,India,India,In which country is the city of Bhiwandi located?,In which country is the city of Bhiwandi located? India.
The city of Bhiwandi is in China.,0,Bhiwandi,China,India,In which country is the city of Bhiwandi located?,In which country is the city of Bhiwandi located? China.
The city of Erbil is in Iraq.,1,Erbil,Iraq,Iraq,In which country is the city of Erbil located?,In which country is the city of Erbil located? Iraq.
The city of Erbil is in Cuba.,0,Erbil,Cuba,Iraq,In which country is the city of Erbil located?,In which country is the city of Erbil located? Cuba.
The city of Chelyabinsk is in Russia.,1,Chelyabinsk,Russia,Russia,In which country is the city of Chelyabinsk located?,In which country is the city of Chelyabinsk located? Russia.
The city of Chelyabinsk is in China.,0,Chelyabinsk,China,Russia,In which country is the city of Chelyabinsk located?,In which country is the city of Chelyabinsk located? China.
The city of Uskudar is in Turkey.,1,Uskudar,Turkey,Turkey,In which country is the city of Uskudar located?,In which country is the city of Uskudar located? Turkey.
The city of Uskudar is in Bulgaria.,0,Uskudar,Bulgaria,Turkey,In which country is the city of Uskudar located?,In which country is the city of Uskudar located? Bulgaria.
The city of Bagcilar is in Turkey.,1,Bagcilar,Turkey,Turkey,In which country is the city of Bagcilar located?,In which country is the city of Bagcilar located? Turkey.
The city of Bagcilar is in Iran.,0,Bagcilar,Iran,Turkey,In which country is the city of Bagcilar located?,In which country is the city of Bagcilar located? Iran.
The city of Quezon City is in the Philippines.,1,Quezon City,the Philippines,the Philippines,In which country is the city of Quezon City located?,In which country is the city of Quezon City located? the Philippines.
The city of Quezon City is in China.,0,Quezon City,China,the Philippines,In which country is the city of Quezon City located?,In which country is the city of Quezon City located? China.
The city of Mexico City is in Mexico.,1,Mexico City,Mexico,Mexico,In which country is the city of Mexico City located?,In which country is the city of Mexico City located? Mexico.
The city of Mexico City is in China.,0,Mexico City,China,Mexico,In which country is the city of Mexico City located?,In which country is the city of Mexico City located? China.
The city of Leon de los Aldama is in Mexico.,1,Leon de los Aldama,Mexico,Mexico,In which country is the city of Leon de los Aldama located?,In which country is the city of Leon de los Aldama located? Mexico.
The city of Leon de los Aldama is in China.,0,Leon de los Aldama,China,Mexico,In which country is the city of Leon de los Aldama located?,In which country is the city of Leon de los Aldama located? China.
The city of Fes is in Morocco.,1,Fes,Morocco,Morocco,In which country is the city of Fes located?,In which country is the city of Fes located? Morocco.
The city of Fes is in Mali.,0,Fes,Mali,Morocco,In which country is the city of Fes located?,In which country is the city of Fes located? Mali.
The city of Surat is in India.,1,Surat,India,India,In which country is the city of Surat located?,In which country is the city of Surat located? India.
The city of Surat is in Burkina Faso.,0,Surat,Burkina Faso,India,In which country is the city of Surat located?,In which country is the city of Surat located? Burkina Faso.
The city of Barnaul is in Russia.,1,Barnaul,Russia,Russia,In which country is the city of Barnaul located?,In which country is the city of Barnaul located? Russia.
The city of Barnaul is in South Africa.,0,Barnaul,South Africa,Russia,In which country is the city of Barnaul located?,In which country is the city of Barnaul located? South Africa.
The city of Buraydah is in Saudi Arabia.,1,Buraydah,Saudi Arabia,Saudi Arabia,In which country is the city of Buraydah located?,In which country is the city of Buraydah located? Saudi Arabia.
The city of Buraydah is in Rwanda.,0,Buraydah,Rwanda,Saudi Arabia,In which country is the city of Buraydah located?,In which country is the city of Buraydah located? Rwanda.
The city of Bikaner is in India.,1,Bikaner,India,India,In which country is the city of Bikaner located?,In which country is the city of Bikaner located? India.
The city of Bikaner is in South Korea.,0,Bikaner,South Korea,India,In which country is the city of Bikaner located?,In which country is the city of Bikaner located? South Korea.
The city of Mogadishu is in Somalia.,1,Mogadishu,Somalia,Somalia,In which country is the city of Mogadishu located?,In which country is the city of Mogadishu located? Somalia.
The city of Mogadishu is in Iran.,0,Mogadishu,Iran,Somalia,In which country is the city of Mogadishu located?,In which country is the city of Mogadishu located? Iran.
The city of Homs is in Syria.,1,Homs,Syria,Syria,In which country is the city of Homs located?,In which country is the city of Homs located? Syria.
The city of Homs is in Indonesia.,0,Homs,Indonesia,Syria,In which country is the city of Homs located?,In which country is the city of Homs located? Indonesia.
The city of Port-au-Prince is in Haiti.,1,Port-au-Prince,Haiti,Haiti,In which country is the city of Port-au-Prince located?,In which country is the city of Port-au-Prince located? Haiti.
The city of Port-au-Prince is in South Korea.,0,Port-au-Prince,South Korea,Haiti,In which country is the city of Port-au-Prince located?,In which country is the city of Port-au-Prince located? South Korea.
The city of Thuan An is in Vietnam.,1,Thuan An,Vietnam,Vietnam,In which country is the city of Thuan An located?,In which country is the city of Thuan An located? Vietnam.
The city of Thuan An is in Mozambique.,0,Thuan An,Mozambique,Vietnam,In which country is the city of Thuan An located?,In which country is the city of Thuan An located? Mozambique.
The city of Sanaa is in Yemen.,1,Sanaa,Yemen,Yemen,In which country is the city of Sanaa located?,In which country is the city of Sanaa located? Yemen.
The city of Sanaa is in China.,0,Sanaa,China,Yemen,In which country is the city of Sanaa located?,In which country is the city of Sanaa located? China.
The city of Pretoria is in South Africa.,1,Pretoria,South Africa,South Africa,In which country is the city of Pretoria located?,In which country is the city of Pretoria located? South Africa.
The city of Pretoria is in India.,0,Pretoria,India,South Africa,In which country is the city of Pretoria located?,In which country is the city of Pretoria located? India.
The city of Pietermaritzburg is in South Africa.,1,Pietermaritzburg,South Africa,South Africa,In which country is the city of Pietermaritzburg located?,In which country is the city of Pietermaritzburg located? South Africa.
The city of Pietermaritzburg is in China.,0,Pietermaritzburg,China,South Africa,In which country is the city of Pietermaritzburg located?,In which country is the city of Pietermaritzburg located? China.
The city of Abu Dhabi is in the United Arab Emirates.,1,Abu Dhabi,the United Arab Emirates,the United Arab Emirates,In which country is the city of Abu Dhabi located?,In which country is the city of Abu Dhabi located? the United Arab Emirates.
The city of Abu Dhabi is in Oman.,0,Abu Dhabi,Oman,the United Arab Emirates,In which country is the city of Abu Dhabi located?,In which country is the city of Abu Dhabi located? Oman.
The city of Sao Paulo is in Brazil.,1,Sao Paulo,Brazil,Brazil,In which country is the city of Sao Paulo located?,In which country is the city of Sao Paulo located? Brazil.
The city of Sao Paulo is in China.,0,Sao Paulo,China,Brazil,In which country is the city of Sao Paulo located?,In which country is the city of Sao Paulo located? China.
The city of Lianyungang is in China.,1,Lianyungang,China,China,In which country is the city of Lianyungang located?,In which country is the city of Lianyungang located? China.
The city of Lianyungang is in the Philippines.,0,Lianyungang,the Philippines,China,In which country is the city of Lianyungang located?,In which country is the city of Lianyungang located? the Philippines.
The city of Xiaogan is in China.,1,Xiaogan,China,China,In which country is the city of Xiaogan located?,In which country is the city of Xiaogan located? China.
The city of Xiaogan is in Ukraine.,0,Xiaogan,Ukraine,China,In which country is the city of Xiaogan located?,In which country is the city of Xiaogan located? Ukraine.
The city of Taicang is in China.,1,Taicang,China,China,In which country is the city of Taicang located?,In which country is the city of Taicang located? China.
The city of Taicang is in Madagascar.,0,Taicang,Madagascar,China,In which country is the city of Taicang located?,In which country is the city of Taicang located? Madagascar.
The city of Guiyang is in China.,1,Guiyang,China,China,In which country is the city of Guiyang located?,In which country is the city of Guiyang located? China.
The city of Guiyang is in South Korea.,0,Guiyang,South Korea,China,In which country is the city of Guiyang located?,In which country is the city of Guiyang located? South Korea.
The city of Ganzhou is in China.,1,Ganzhou,China,China,In which country is the city of Ganzhou located?,In which country is the city of Ganzhou located? China.
The city of Ganzhou is in South Korea.,0,Ganzhou,South Korea,China,In which country is the city of Ganzhou located?,In which country is the city of Ganzhou located? South Korea.
The city of Shangyu is in China.,1,Shangyu,China,China,In which country is the city of Shangyu located?,In which country is the city of Shangyu located? China.
The city of Shangyu is in the United Arab Emirates.,0,Shangyu,the United Arab Emirates,China,In which country is the city of Shangyu located?,In which country is the city of Shangyu located? the United Arab Emirates.
The city of Jambi City is in Indonesia.,1,Jambi City,Indonesia,Indonesia,In which country is the city of Jambi City located?,In which country is the city of Jambi City located? Indonesia.
The city of Jambi City is in China.,0,Jambi City,China,Indonesia,In which country is the city of Jambi City located?,In which country is the city of Jambi City located? China.
The city of Indianapolis is in the United States.,1,Indianapolis,the United States,the United States,In which country is the city of Indianapolis located?,In which country is the city of Indianapolis located? the United States.
The city of Indianapolis is in Côte d'Ivoire.,0,Indianapolis,Côte d'Ivoire,the United States,In which country is the city of Indianapolis located?,In which country is the city of Indianapolis located? Côte d'Ivoire.
The city of New York City is in the United States.,1,New York City,the United States,the United States,In which country is the city of New York City located?,In which country is the city of New York City located? the United States.
The city of New York City is in India.,0,New York City,India,the United States,In which country is the city of New York City located?,In which country is the city of New York City located? India.
The city of Bulawayo is in Zimbabwe.,1,Bulawayo,Zimbabwe,Zimbabwe,In which country is the city of Bulawayo located?,In which country is the city of Bulawayo located? Zimbabwe.
The city of Bulawayo is in China.,0,Bulawayo,China,Zimbabwe,In which country is the city of Bulawayo located?,In which country is the city of Bulawayo located? China.
The city of Santiago de Cuba is in Cuba.,1,Santiago de Cuba,Cuba,Cuba,In which country is the city of Santiago de Cuba located?,In which country is the city of Santiago de Cuba located? Cuba.
The city of Santiago de Cuba is in India.,0,Santiago de Cuba,India,Cuba,In which country is the city of Santiago de Cuba located?,In which country is the city of Santiago de Cuba located? India.
The city of Quito is in Ecuador.,1,Quito,Ecuador,Ecuador,In which country is the city of Quito located?,In which country is the city of Quito located? Ecuador.
The city of Quito is in China.,0,Quito,China,Ecuador,In which country is the city of Quito located?,In which country is the city of Quito located? China.
The city of Shubra al Khaymah is in Egypt.,1,Shubra al Khaymah,Egypt,Egypt,In which country is the city of Shubra al Khaymah located?,In which country is the city of Shubra al Khaymah located? Egypt.
The city of Shubra al Khaymah is in Nigeria.,0,Shubra al Khaymah,Nigeria,Egypt,In which country is the city of Shubra al Khaymah located?,In which country is the city of Shubra al Khaymah located? Nigeria.
The city of Al Mahallah al Kubra is in Egypt.,1,Al Mahallah al Kubra,Egypt,Egypt,In which country is the city of Al Mahallah al Kubra located?,In which country is the city of Al Mahallah al Kubra located? Egypt.
The city of Al Mahallah al Kubra is in Afghanistan.,0,Al Mahallah al Kubra,Afghanistan,Egypt,In which country is the city of Al Mahallah al Kubra located?,In which country is the city of Al Mahallah al Kubra located? Afghanistan.
The city of Suining is in China.,1,Suining,China,China,In which country is the city of Suining located?,In which country is the city of Suining located? China.
The city of Suining is in Algeria.,0,Suining,Algeria,China,In which country is the city of Suining located?,In which country is the city of Suining located? Algeria.
The city of Guankou is in China.,1,Guankou,China,China,In which country is the city of Guankou located?,In which country is the city of Guankou located? China.
The city of Guankou is in Pakistan.,0,Guankou,Pakistan,China,In which country is the city of Guankou located?,In which country is the city of Guankou located? Pakistan.
The city of Langfang is in China.,1,Langfang,China,China,In which country is the city of Langfang located?,In which country is the city of Langfang located? China.
The city of Langfang is in India.,0,Langfang,India,China,In which country is the city of Langfang located?,In which country is the city of Langfang located? India.
The city of Jinan is in China.,1,Jinan,China,China,In which country is the city of Jinan located?,In which country is the city of Jinan located? China.
The city of Jinan is in Rwanda.,0,Jinan,Rwanda,China,In which country is the city of Jinan located?,In which country is the city of Jinan located? Rwanda.
The city of Guigang is in China.,1,Guigang,China,China,In which country is the city of Guigang located?,In which country is the city of Guigang located? China.
The city of Guigang is in Japan.,0,Guigang,Japan,China,In which country is the city of Guigang located?,In which country is the city of Guigang located? Japan.
The city of Dalian is in China.,1,Dalian,China,China,In which country is the city of Dalian located?,In which country is the city of Dalian located? China.
The city of Dalian is in Saudi Arabia.,0,Dalian,Saudi Arabia,China,In which country is the city of Dalian located?,In which country is the city of Dalian located? Saudi Arabia.
The city of Chongqing is in China.,1,Chongqing,China,China,In which country is the city of Chongqing located?,In which country is the city of Chongqing located? China.
The city of Chongqing is in Sweden.,0,Chongqing,Sweden,China,In which country is the city of Chongqing located?,In which country is the city of Chongqing located? Sweden.
The city of Homyel' is in Belarus.,1,Homyel',Belarus,Belarus,In which country is the city of Homyel' located?,In which country is the city of Homyel' located? Belarus.
The city of Homyel' is in Iran.,0,Homyel',Iran,Belarus,In which country is the city of Homyel' located?,In which country is the city of Homyel' located? Iran.
The city of Winnipeg is in Canada.,1,Winnipeg,Canada,Canada,In which country is the city of Winnipeg located?,In which country is the city of Winnipeg located? Canada.
The city of Winnipeg is in Mexico.,0,Winnipeg,Mexico,Canada,In which country is the city of Winnipeg located?,In which country is the city of Winnipeg located? Mexico.
The city of Klang is in Malaysia.,1,Klang,Malaysia,Malaysia,In which country is the city of Klang located?,In which country is the city of Klang located? Malaysia.
The city of Klang is in China.,0,Klang,China,Malaysia,In which country is the city of Klang located?,In which country is the city of Klang located? China.
The city of Irbid is in Jordan.,1,Irbid,Jordan,Jordan,In which country is the city of Irbid located?,In which country is the city of Irbid located? Jordan.
The city of Irbid is in India.,0,Irbid,India,Jordan,In which country is the city of Irbid located?,In which country is the city of Irbid located? India.
The city of Bishkek is in Kyrgyzstan.,1,Bishkek,Kyrgyzstan,Kyrgyzstan,In which country is the city of Bishkek located?,In which country is the city of Bishkek located? Kyrgyzstan.
The city of Bishkek is in Germany.,0,Bishkek,Germany,Kyrgyzstan,In which country is the city of Bishkek located?,In which country is the city of Bishkek located? Germany.
The city of Muzaffarabad is in Pakistan.,1,Muzaffarabad,Pakistan,Pakistan,In which country is the city of Muzaffarabad located?,In which country is the city of Muzaffarabad located? Pakistan.
The city of Muzaffarabad is in China.,0,Muzaffarabad,China,Pakistan,In which country is the city of Muzaffarabad located?,In which country is the city of Muzaffarabad located? China.
The city of Kotli is in Pakistan.,1,Kotli,Pakistan,Pakistan,In which country is the city of Kotli located?,In which country is the city of Kotli located? Pakistan.
The city of Kotli is in the United States.,0,Kotli,the United States,Pakistan,In which country is the city of Kotli located?,In which country is the city of Kotli located? the United States.
The city of Nagpur is in India.,1,Nagpur,India,India,In which country is the city of Nagpur located?,In which country is the city of Nagpur located? India.
The city of Nagpur is in Denmark.,0,Nagpur,Denmark,India,In which country is the city of Nagpur located?,In which country is the city of Nagpur located? Denmark.
The city of Kolhapur is in India.,1,Kolhapur,India,India,In which country is the city of Kolhapur located?,In which country is the city of Kolhapur located? India.
The city of Kolhapur is in Mozambique.,0,Kolhapur,Mozambique,India,In which country is the city of Kolhapur located?,In which country is the city of Kolhapur located? Mozambique.
The city of Cuttack is in India.,1,Cuttack,India,India,In which country is the city of Cuttack located?,In which country is the city of Cuttack located? India.
The city of Cuttack is in Pakistan.,0,Cuttack,Pakistan,India,In which country is the city of Cuttack located?,In which country is the city of Cuttack located? Pakistan.
The city of Makassar is in Indonesia.,1,Makassar,Indonesia,Indonesia,In which country is the city of Makassar located?,In which country is the city of Makassar located? Indonesia.
The city of Makassar is in China.,0,Makassar,China,Indonesia,In which country is the city of Makassar located?,In which country is the city of Makassar located? China.
The city of Yekaterinburg is in Russia.,1,Yekaterinburg,Russia,Russia,In which country is the city of Yekaterinburg located?,In which country is the city of Yekaterinburg located? Russia.
The city of Yekaterinburg is in Lithuania.,0,Yekaterinburg,Lithuania,Russia,In which country is the city of Yekaterinburg located?,In which country is the city of Yekaterinburg located? Lithuania.
The city of Dammam is in Saudi Arabia.,1,Dammam,Saudi Arabia,Saudi Arabia,In which country is the city of Dammam located?,In which country is the city of Dammam located? Saudi Arabia.
The city of Dammam is in Russia.,0,Dammam,Russia,Saudi Arabia,In which country is the city of Dammam located?,In which country is the city of Dammam located? Russia.
The city of Dushanbe is in Tajikistan.,1,Dushanbe,Tajikistan,Tajikistan,In which country is the city of Dushanbe located?,In which country is the city of Dushanbe located? Tajikistan.
The city of Dushanbe is in Nigeria.,0,Dushanbe,Nigeria,Tajikistan,In which country is the city of Dushanbe located?,In which country is the city of Dushanbe located? Nigeria.
The city of Gaziantep is in Turkey.,1,Gaziantep,Turkey,Turkey,In which country is the city of Gaziantep located?,In which country is the city of Gaziantep located? Turkey.
The city of Gaziantep is in Mexico.,0,Gaziantep,Mexico,Turkey,In which country is the city of Gaziantep located?,In which country is the city of Gaziantep located? Mexico.
The city of Asuncion is in Paraguay.,1,Asuncion,Paraguay,Paraguay,In which country is the city of Asuncion located?,In which country is the city of Asuncion located? Paraguay.
The city of Asuncion is in Nigeria.,0,Asuncion,Nigeria,Paraguay,In which country is the city of Asuncion located?,In which country is the city of Asuncion located? Nigeria.
The city of Tebessa is in Algeria.,1,Tebessa,Algeria,Algeria,In which country is the city of Tebessa located?,In which country is the city of Tebessa located? Algeria.
The city of Tebessa is in India.,0,Tebessa,India,Algeria,In which country is the city of Tebessa located?,In which country is the city of Tebessa located? India.
The city of Zhuzhou is in China.,1,Zhuzhou,China,China,In which country is the city of Zhuzhou located?,In which country is the city of Zhuzhou located? China.
The city of Zhuzhou is in France.,0,Zhuzhou,France,China,In which country is the city of Zhuzhou located?,In which country is the city of Zhuzhou located? France.
The city of Xining is in China.,1,Xining,China,China,In which country is the city of Xining located?,In which country is the city of Xining located? China.
The city of Xining is in the United Arab Emirates.,0,Xining,the United Arab Emirates,China,In which country is the city of Xining located?,In which country is the city of Xining located? the United Arab Emirates.
The city of Tanggu is in China.,1,Tanggu,China,China,In which country is the city of Tanggu located?,In which country is the city of Tanggu located? China.
The city of Tanggu is in South Korea.,0,Tanggu,South Korea,China,In which country is the city of Tanggu located?,In which country is the city of Tanggu located? South Korea.
The city of Shantou is in China.,1,Shantou,China,China,In which country is the city of Shantou located?,In which country is the city of Shantou located? China.
The city of Shantou is in Pakistan.,0,Shantou,Pakistan,China,In which country is the city of Shantou located?,In which country is the city of Shantou located? Pakistan.
The city of Shangluo is in China.,1,Shangluo,China,China,In which country is the city of Shangluo located?,In which country is the city of Shangluo located? China.
The city of Shangluo is in Honduras.,0,Shangluo,Honduras,China,In which country is the city of Shangluo located?,In which country is the city of Shangluo located? Honduras.
The city of Putian is in China.,1,Putian,China,China,In which country is the city of Putian located?,In which country is the city of Putian located? China.
The city of Putian is in Vietnam.,0,Putian,Vietnam,China,In which country is the city of Putian located?,In which country is the city of Putian located? Vietnam.
The city of Luzhou is in China.,1,Luzhou,China,China,In which country is the city of Luzhou located?,In which country is the city of Luzhou located? China.
The city of Luzhou is in Peru.,0,Luzhou,Peru,China,In which country is the city of Luzhou located?,In which country is the city of Luzhou located? Peru.
The city of Lanzhou is in China.,1,Lanzhou,China,China,In which country is the city of Lanzhou located?,In which country is the city of Lanzhou located? China.
The city of Lanzhou is in Mexico.,0,Lanzhou,Mexico,China,In which country is the city of Lanzhou located?,In which country is the city of Lanzhou located? Mexico.
The city of Chenzhou is in China.,1,Chenzhou,China,China,In which country is the city of Chenzhou located?,In which country is the city of Chenzhou located? China.
The city of Chenzhou is in Brazil.,0,Chenzhou,Brazil,China,In which country is the city of Chenzhou located?,In which country is the city of Chenzhou located? Brazil.
The city of Baise is in China.,1,Baise,China,China,In which country is the city of Baise located?,In which country is the city of Baise located? China.
The city of Baise is in Japan.,0,Baise,Japan,China,In which country is the city of Baise located?,In which country is the city of Baise located? Japan.
The city of Shenyang is in China.,1,Shenyang,China,China,In which country is the city of Shenyang located?,In which country is the city of Shenyang located? China.
The city of Shenyang is in Somalia.,0,Shenyang,Somalia,China,In which country is the city of Shenyang located?,In which country is the city of Shenyang located? Somalia.
The city of Daqing is in China.,1,Daqing,China,China,In which country is the city of Daqing located?,In which country is the city of Daqing located? China.
The city of Daqing is in Brazil.,0,Daqing,Brazil,China,In which country is the city of Daqing located?,In which country is the city of Daqing located? Brazil.
The city of Brasilia is in Brazil.,1,Brasilia,Brazil,Brazil,In which country is the city of Brasilia located?,In which country is the city of Brasilia located? Brazil.
The city of Brasilia is in South Korea.,0,Brasilia,South Korea,Brazil,In which country is the city of Brasilia located?,In which country is the city of Brasilia located? South Korea.
The city of Kandahar is in Afghanistan.,1,Kandahar,Afghanistan,Afghanistan,In which country is the city of Kandahar located?,In which country is the city of Kandahar located? Afghanistan.
The city of Kandahar is in China.,0,Kandahar,China,Afghanistan,In which country is the city of Kandahar located?,In which country is the city of Kandahar located? China.
The city of Gold Coast is in Australia.,1,Gold Coast,Australia,Australia,In which country is the city of Gold Coast located?,In which country is the city of Gold Coast located? Australia.
